Move Number,Eval,Centipawn Loss,Time Left,Time Spent
13b,1.23,0.030000000000000027,49,2
14w,0.53,0.7,40,1
14b,0.55,0.020000000000000018,48,1
15w,0.55,0,38,2
15b,0.86,0.30999999999999994,47,1
16w,0.32,0.54,36,2
16b,0.5,0.18,46,1
17w,-0.45,0.95,33,3
17b,-0.51,0,45,1
18w,-0.68,0.17000000000000004,31,2
18b,1.29,1.9700000000000002,36,9
19w,0.0,1.29,30,1
19b,0.0,0,34,2
20w,0.0,0,29,1
20b,0.01,0.01,33,1
21w,-0.89,0.9,24,5
21b,-0.81,0.07999999999999996,33,0
22w,-1.02,0.20999999999999996,21,3
22b,-0.75,0.27,33,0
23w,-2.97,2.22,17,4
23b,-0.79,2.18,32,1
24w,-0.91,0.12,13,4
24b,-0.12,0.79,31,1
25w,-0.1,0,11,2
25b,-0.11,0,23,8
26w,-0.61,0.5,10,1
26b,-0.61,0,23,0
27w,-5.41,4.8,8,2
27b,-4.01,1.4000000000000004,21,2
28w,-5.35,1.3399999999999999,6,2
28b,-4.74,0.6099999999999994,20,1
29w,-7.39,2.6499999999999995,2,4
29b,-7.38,0.009999999999999787,20,0
1w,0.08,0,900,5
1b,0.1,0.020000000000000004,900,5
2w,-0.06,0.16,896,9
2b,-0.12,0,902,3
3w,-0.16,0.04000000000000001,897,4
3b,-0.14,0.01999999999999999,905,2
4w,-0.24,0.09999999999999998,889,13
4b,-0.16,0.07999999999999999,907,3
5w,-0.41,0.24999999999999997,890,4
5b,-0.05,0.36,860,52
6w,-0.37,0.32,874,21
6b,-0.36,0.010000000000000009,861,4
7w,-0.4,0.040000000000000036,867,12
7b,-0.37,0.030000000000000027,858,8
8w,-0.43,0.06,764,108
8b,-0.42,0.010000000000000009,857,6
9w,-0.5,0.08000000000000002,738,31
9b,-0.3,0.2,850,12
10w,-0.4,0.10000000000000003,733,10
10b,-0.14,0.26,816,39
11w,-0.26,0.12,722,16
11b,-0.25,0.010000000000000009,815,6
12w,-0.37,0.12,671,56
12b,-0.17,0.19999999999999998,705,115
13w,-0.29,0.11999999999999997,565,111
13b,-0.15,0.13999999999999999,697,13
14w,-0.32,0.17,541,29
14b,-0.27,0.04999999999999999,702,0
15w,-0.4,0.13,476,70
15b,-0.36,0.040000000000000036,663,44
16w,-0.88,0.52,473,8
16b,-0.57,0.31000000000000005,625,43
17w,-0.43,0,461,17
17b,0.3,0.73,623,7
18w,-1.65,1.95,405,61
18b,-0.79,0.8599999999999999,587,41
19w,-1.15,0.3599999999999999,373,37
19b,-0.84,0.30999999999999994,579,13
20w,-0.97,0.13,358,20
20b,-0.95,0.020000000000000018,565,19
21w,-1.3,0.3500000000000001,293,70
21b,-0.83,0.4700000000000001,555,15
22w,-0.68,0,228,70
22b,0.11,0.79,473,87
23w,-10.0,10.11,169,64
23b,-10.0,0,473,5
